,country,GWP_import,year,GWP_export
28,LV,9226953559.66,1997,3141467725.92
29,MT,3265372003.54,1997,1303295740.53
30,MX,87218350410.6,1997,69814083216.0
31,NL,125471806595.0,1997,89306354260.5
32,NO,41482292481.7,1997,40603263718.5
33,PL,51825269745.2,1997,83706092445.3
34,PT,34763931541.8,1997,10155177643.2
35,RO,21137100429.4,1997,34063561249.1
36,RU,148128466969.0,1997,764527591879.0
37,SE,59852925745.8,1997,22433322890.0
38,SI,8306664005.62,1997,3568844601.95
39,SK,25698616671.9,1997,14714667682.3
40,TR,85343001893.1,1997,34571154790.3
41,TW,134548970495.0,1997,84178408989.6
42,US,1174581535430.0,1997,525645737182.0
43,WA,709144931339.0,1997,818382351516.0
44,WE,99411220243.7,1997,175970303505.0
45,WF,116136684477.0,1997,417882485320.0
46,WL,211022447787.0,1997,275427226860.0
47,WM,228550793288.0,1997,535719143343.0
48,ZA,24927562516.4,1997,118867874398.0
0,AT,56035274819.4,1998,17259346616.3
1,AU,94314915675.0,1998,140869684132.0
2,BE,71524759537.8,1998,56973376898.3
3,BG,11668261741.9,1998,21391648051.2
4,BR,98104384594.5,1998,48451685461.2
5,CA,136149539016.0,1998,226558061690.0
6,CH,80636417031.3,1998,16243420235.9
7,CN,183723098873.0,1998,756865617480.0
8,CY,7333558777.38,1998,3302438666.94
9,CZ,29258945546.8,1998,33578989932.5
10,DE,427405943602.0,1998,181410915122.0
11,DK,39060152932.0,1998,21392885875.1
12,EE,5456399306.78,1998,7103704662.44
13,ES,143960492361.0,1998,69104155333.7
14,FI,39766798112.2,1998,20600762858.0
15,FR,278621366501.0,1998,111460468753.0
16,GB,316760521972.0,1998,130448044580.0
17,GR,43169247892.0,1998,20837755245.0
18,HR,10123109646.8,1998,4962341630.77
19,HU,29256244043.9,1998,17037230643.9
20,ID,77600210799.6,1998,159309492404.0
21,IE,32711415133.8,1998,31673471713.0
22,IN,104113236140.0,1998,170718158965.0
23,IT,307557046867.0,1998,92187659237.8
24,JP,455039171181.0,1998,189194108599.0
25,KR,105013616665.0,1998,142283228321.0
26,LT,10414739711.1,1998,5398578921.97
27,LU,4191605955.76,1998,3074957779.18
28,LV,8348913382.85,1998,3144641359.09
29,MT,2618365844.7,1998,1391852512.49
30,MX,97749055645.4,1998,67670739831.5
31,NL,132353973397.0,1998,86182183262.4
32,NO,42790066815.4,1998,37952646503.6
33,PL,70606983726.2,1998,86415260747.5
34,PT,36211134646.7,1998,10798788318.8
35,RO,21799404179.2,1998,26585209889.5
36,RU,119982195001.0,1998,797084297099.0
37,SE,60008179638.5,1998,22255303709.2
38,SI,9170544473.14,1998,3547308846.5
39,SK,22978625349.6,1998,11580458712.4
40,TR,84254638750.7,1998,37019106100.7
41,TW,131099217510.0,1998,79350114413.9
42,US,1300356644050.0,1998,494712245284.0
43,WA,625537681559.0,1998,764896013707.0
44,WE,88774631129.5,1998,168068658560.0
45,WF,129165588397.0,1998,355740717351.0
46,WL,225265049685.0,1998,297453133903.0
47,WM,226605648764.0,1998,476174720799.0
48,ZA,21181535298.0,1998,128112960955.0
0,AT,55010681679.8,1999,17262780658.6
1,AU,108023901769.0,1999,164890446909.0
2,BE,75821440777.0,1999,62962513789.4
3,BG,15073898980.2,1999,20646338989.5
4,BR,78388551531.4,1999,67133506706.7
5,CA,144800155160.0,1999,223583592601.0
